timestamp,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_qd_0,target_qd_1,target_qd_2,target_qd_3,target_qd_4,target_qd_5,target_qdd_0,target_qdd_1,target_qdd_2,target_qdd_3,target_qdd_4,target_qdd_5,target_current_0,target_current_1,target_current_2,target_current_3,target_current_4,target_current_5,target_moment_0,target_moment_1,target_moment_2,target_moment_3,target_moment_4,target_moment_5,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,actual_current_0,actual_current_1,actual_current_2,actual_current_3,actual_current_4,actual_current_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_TCP_speed_0,actual_TCP_speed_1,actual_TCP_speed_2,actual_TCP_speed_3,actual_TCP_speed_4,actual_TCP_speed_5,actual_TCP_force_0,actual_TCP_force_1,actual_TCP_force_2,actual_TCP_force_3,actual_TCP_force_4,actual_TCP_force_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5,target_TCP_speed_0,target_TCP_speed_1,target_TCP_speed_2,target_TCP_speed_3,target_TCP_speed_4,target_TCP_speed_5,actual_tool_accelerometer_0,actual_tool_accelerometer_1,actual_tool_accelerometer_2,output_double_register_0
715.485,-0.338783089314596,-1.2734240752509614,-2.2187340259552,-1.208503709440567,1.6245808601379395,-0.03444511095155889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.681492320976504e-17,1.3528077602386475,4.091202259063721,0.30666449666023254,0.004484942182898521,0.0,9.199261951858326e-16,16.20106043139517,40.251656942074945,3.300613804984565,0.04827119856333497,0.0,-0.3387716452227991,-1.273403362636902,-2.218721628189087,-1.2085237962058564,1.6245723962783813,-0.034431282673971,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.15963198244571686,1.3635549545288086,4.113886833190918,0.2981302738189697,-0.19258058071136475,-0.022111885249614716,0.3976160821184973,-0.3128539332740649,0.3855513996510361,-1.8263418482068063,2.4888169271789344,0.03470235324275161,0.0,0.0,0.0,0.0,0.0,0.0,0.10826218929581488,1.3085082807115183,-0.167016946020016,-0.02780911559381176,-0.003057443001061217,-0.0007398683334139972,0.3976160483211827,-0.3128580873970161,0.385535861896934,-1.826344207757373,2.4888149777315354,0.03472523787382674,0.0,0.0,0.0,0.0,0.0,0.0,-0.3447650372982025,0.07661445438861847,-9.59596061706543,0.0
715.487,-0.338783089314596,-1.2734240752509614,-2.2187340259552,-1.208503709440567,1.6245808601379395,-0.03444511095155889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4393286603309094e-17,1.3528233766555786,4.0912885665893555,0.3066718876361847,0.004484242293983698,0.0,-2.921310342371369e-16,16.201248217387516,40.252504254948484,3.3006936034818257,0.048263664029202166,0.0,-0.3387544790851038,-1.2734479171088715,-2.218761920928955,-1.2085237962058564,1.6245977878570557,-0.03444368044008428,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.018329162150621414,1.3121120929718018,4.079051971435547,0.3056206703186035,-0.20365427434444427,-0.03903239220380783,0.3976171426302075,-0.31284061790341433,0.38550381862970085,-1.8263908498626347,2.4888125712061613,0.034833055832762784,0.0,0.0,0.0,0.0,0.0,0.0,0.2640644618232462,0.67881130650475,-0.09050483456004538,-0.004611562026254564,2.1781204824101223e-05,0.00016459000300521787,0.3976160483211827,-0.3128580873970161,0.385535861896934,-1.826344207757373,2.4888149777315354,0.03472523787382674,0.0,0.0,0.0,0.0,0.0,0.0,-0.4213795065879822,0.15322890877723694,-9.653421401977539,0.0
715.4889999999999,-0.338783089314596,-1.2734240752509614,-2.2187340259552,-1.208503709440567,1.6245808601379395,-0.03444511095155889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8335393490826124e-16,1.353013515472412,4.091164588928223,0.3066651225090027,0.004486361984163523,0.0,3.3934122809187102e-15,16.203525356402235,40.25128494662577,3.3006207784856927,0.04828647874225386,0.0,-0.3387349287616175,-1.2734034222415467,-2.2187423706054688,-1.2085040670684357,1.6245681047439575,-0.034476582204000294,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.04659378528594971,1.3388164043426514,4.09816837310791,0.30018603801727295,-0.20539459586143494,-0.038331177085638046,0.3976232865123898,-0.3128386858669694,0.3855400813261006,-1.8264461809211576,2.488745457117268,0.03469964382596193,0.0,0.0,0.0,0.0,0.0,0.0,0.28889233240549783,0.8246121241221225,-0.34212654415666016,-0.01514118900027779,0.006042195937397676,0.0013183222389812326,0.3976160483211827,-0.3128580873970161,0.385535861896934,-1.826344207757373,2.4888149777315354,0.03472523787382674,0.0,0.0,0.0,0.0,0.0,0.0,-0.3447650372982025,0.13407529890537262,-9.576807022094727,0.0
715.491,-0.338783089314596,-1.2734240752509614,-2.2187340259552,-1.208503709440567,1.6245808601379395,-0.03444511095155889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7007377348061064e-16,1.3528002500534058,4.091259956359863,0.3066718280315399,0.0044838846661150455,0.0,-2.0367827695043495e-15,16.200970917664264,40.252222277735605,3.3006926853782863,0.048259816726606036,0.0,-0.33880359331239873,-1.2734236878207703,-2.2187659740448,-1.2085242134383698,1.6245477199554443,-0.03446847597231084,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.1561894714832306,1.2798855304718018,4.029589653015137,0.30309394001960754,-0.1947200894355774,-0.01906566694378853,0.39759249203397673,-0.31286670921044685,0.3855121696802521,-1.8263788171726747,2.4888588590612644,0.034761531106639175,0.0,0.0,0.0,0.0,0.0,0.0,0.5829056543602142,1.1051749494176222,-0.07011939669475332,-0.02639876274549228,0.01707301630058847,0.0019284082412011276,0.3976160483211827,-0.3128580873970161,0.385535861896934,-1.826344207757373,2.4888149777315354,0.03472523787382674,0.0,0.0,0.0,0.0,0.0,0.0,-0.38307225704193115,0.13407528400421143,-9.634267807006836,0.0
715.4929999999999,-0.338783089314596,-1.2734240752509614,-2.2187340259552,-1.208503709440567,1.6245808601379395,-0.03444511095155889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.983376830473938e-16,1.3528789281845093,4.091194152832031,0.30666670203208923,0.004482189659029245,0.0,3.57285589481154e-15,16.20191357536993,40.2515745840138,3.3006377647162815,0.04824157529509756,0.0,-0.33879119554628545,-1.2734117668918152,-2.218761920928955,-1.208439366226532,1.624580979347229,-0.03448039690126592,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.05320452153682709,1.3818209171295166,4.097017288208008,0.31021469831466675,-0.20118588209152222,-0.04521732032299042,0.3976122775566453,-0.31286089512905074,0.38553124790369464,-1.8263633243145838,2.488767071297651,0.03466100866853786,0.0,0.0,0.0,0.0,0.0,0.0,0.29196405043867213,0.9755189588890557,-0.017205543013026972,-0.014248421525182629,-0.0007693904307228453,0.005326689347343368,0.3976160483211827,-0.3128580873970161,0.385535861896934,-1.826344207757373,2.4888149777315354,0.03472523787382674,0.0,0.0,0.0,0.0,0.0,0.0,-0.4596867263317108,0.1149216815829277,-9.634267807006836,0.0
715.495,-0.338783089314596,-1.2734240752509614,-2.2187340259552,-1.208503709440567,1.6245808601379395,-0.03444511095155889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3090532887323649e-16,1.3528261184692383,4.091224670410156,0.3066747486591339,0.004484955221414566,0.0,-1.5677062982277509e-15,16.201280418925194,40.251876929604975,3.3007242553628227,0.04827133956529994,0.0,-0.33880407014955694,-1.2733797293952485,-2.2187464237213135,-1.2085398596576233,1.6245936155319214,-0.03445607820619756,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.023701846599578857,1.302455186843872,4.115119457244873,0.30907759070396423,-0.1988997459411621,-0.013120483607053757,0.39759099714993357,-0.31285738923123657,0.38554466679723887,-1.8263267282528772,2.4888170230515714,0.034740258866580054,0.0,0.0,0.0,0.0,0.0,0.0,0.27496723927540645,1.056440598482868,-0.19977965232153166,-0.03253115693981216,0.004663050453832445,0.003273663829794801,0.3976160483211827,-0.3128580873970161,0.385535861896934,-1.826344207757373,2.4888149777315354,0.03472523787382674,0.0,0.0,0.0,0.0,0.0,0.0,-0.40222588181495667,0.09576806426048279,-9.653421401977539,0.0
715.497,-0.338783089314596,-1.2734240752509614,-2.2187340259552,-1.208503709440567,1.6245808601379395,-0.03444511095155889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.470637365391837e-17,1.3526660203933716,4.091285228729248,0.30667051672935486,0.004486010409891605,0.0,-8.946743860965608e-16,16.199363103859984,40.25247375932547,3.300678811312806,0.04828269955335382,0.0,-0.3387954870807093,-1.2734117966941376,-2.2187340259552,-1.2085241836360474,1.624580979347229,-0.03440744081606084,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.03508389741182327,1.258073329925537,4.102780342102051,0.31198233366012573,-0.18674634397029877,0.00681871734559536,0.39760625989397574,-0.3128608987227816,0.3855392462425339,-1.826284472527557,2.488864605334614,0.03473691028231189,0.0,0.0,0.0,0.0,0.0,0.0,0.6466322834334385,1.1127210608740437,-0.21133161198727707,-0.027500844743248258,0.014127438762854501,-0.0023986647760765446,0.3976160483211827,-0.3128580873970161,0.385535861896934,-1.826344207757373,2.4888149777315354,0.03472523787382674,0.0,0.0,0.0,0.0,0.0,0.0,-0.4405331015586853,-0.019153613597154617,-9.53849983215332,0.0
715.499,-0.338783089314596,-1.2734240752509614,-2.2187340259552,-1.208503709440567,1.6245808601379395,-0.03444511095155889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3384081588241322e-18,1.3528536558151245,4.0912580490112305,0.3066701889038086,0.004484958481043577,0.0,2.800449080555837e-17,16.20161040953743,40.25220458146639,3.3006753917840195,0.04827137186243675,0.0,-0.33882075945009404,-1.2734278005412598,-2.2187423706054688,-1.20853607476268,1.624589204788208,-0.03445607820619756,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.1171979084610939,1.2748956680297852,4.1015167236328125,0.3013116121292114,-0.19863809645175934,-0.025067823007702827,0.39759689015127175,-0.31286881322086074,0.3855247284563401,-1.8263196046930574,2.488854009193889,0.034787297425326096,0.0,0.0,0.0,0.0,0.0,0.0,0.445793234246279,0.6815130965220648,-0.10162789381736032,-0.014949914202590996,0.0016403871763191345,-0.0014646518009357444,0.3976160483211827,-0.3128580873970161,0.385535861896934,-1.826344207757373,2.4888149777315354,0.03472523787382674,0.0,0.0,0.0,0.0,0.0,0.0,-0.38307225704193115,0.038307227194309235,-9.557653427124023,0.0
715.501,-0.338783089314596,-1.2734240752509614,-2.2187340259552,-1.208503709440567,1.6245808601379395,-0.03444511095155889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.640711473372186e-17,1.3529285192489624,4.091221809387207,0.3066673278808594,0.004485645331442356,0.0,1.0348010876290012e-15,16.202506222523255,40.251844482171784,3.300644288891009,0.04827876749291736,0.0,-0.33879119554628545,-1.2734319132617493,-2.218717336654663,-1.2085160177997132,1.6245979070663452,-0.03445607820619756,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.07924789190292358,1.3674861192703247,4.122016906738281,0.3092712163925171,-0.19450756907463074,-0.0249775480479002,0.3976199343125399,-0.31286021320709695,0.3855417718310439,-1.826340379266777,2.4888021928148016,0.034743559269224324,0.0,0.0,0.0,0.0,0.0,0.0,0.4080484992003152,0.9961005079630398,-0.22343345723918212,-0.02951395486320777,0.00951868718503858,0.0007291017456090949,0.3976160483211827,-0.3128580873970161,0.385535861896934,-1.826344207757373,2.4888149777315354,0.03472523787382674,0.0,0.0,0.0,0.0,0.0,0.0,-0.363918662071228,-0.019153613597154617,-9.576807022094727,0.0
715.5029999999999,-0.338783089314596,-1.2734240752509614,-2.2187340259552,-1.208503709440567,1.6245808601379395,-0.03444511095155889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.15601653997965e-17,1.3529818058013916,4.091253757476807,0.30667057633399963,0.004486368037760258,0.0,1.0965133691350593e-15,16.20314681978087,40.252162330027275,3.300679448183161,0.048286547037535286,0.0,-0.3387392202960413,-1.2734479171088715,-2.2187421321868896,-1.208511934881546,1.6246216297149658,-0.03437978426088506,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0942893773317337,1.3479493856430054,4.065576553344727,0.3078700304031372,-0.1891917586326599,-0.01056552305817604,0.39763254630490386,-0.31283361226797873,0.38551854152898646,-1.826309987731735,2.488826667329462,0.03481638695570715,0.0,0.0,0.0,0.0,0.0,0.0,0.4041780292374381,0.7312216786514905,-0.033151511045999026,-0.01863025542486331,0.003211179880555094,-0.0019156723596753392,0.3976160483211827,-0.3128580873970161,0.385535861896934,-1.826344207757373,2.4888149777315354,0.03472523787382674,0.0,0.0,0.0,0.0,0.0,0.0,-0.4213795065879822,0.07661445438861847,-9.576807022094727,0.0
